id;pytanie
21;21. Proszę wyjaśnić swojemu klientowi, w jakich okolicznościach musi zawrzeć ubezpieczenie obowiązkowej odpowiedzialności cywilnej oraz przedstawić klientowi zasady odpowiedzialności cywilnej posiadaczy pojazdów mechanicznych za szkody powstałe w związku z ruchem tych pojazdów, przewidziane ww. ustawą.
22;22. Proszę wyjaśnić swojemu klientowi, na czym polega regres ubezpieczyciela, jakie są jego rodzaje oraz różnice między nimi.
23;23. Proszę wyjaśnić swojemu klientowi, na czym polega trójstronny stosunek brokerski przy zawieraniu umowy ubezpieczenia przez brokera ubezpieczeniowego.
24;24. Proszę wyjaśnić swojemu klientowi, na czym polega actio directa w ubezpieczeniach odpowiedzialności cywilnej.
25;25. Proszę udzielić klientowi informacji prawnej na temat środków prawnych przysługujących mu jako ubezpieczającemu w stosunku do ubezpieczyciela.  
26;26. Proszę wyjaśnić swojemu klientowi jakie znaczenie ma podział ubezpieczeń na obowiązkowe i dobrowolne. 
27;27. Kogo ustawa o ochronie konkurencji i konsumentów uznaje za przedsiębiorcę? W jakich przypadkach dochodzi do przejęcia przez przedsiębiorcę kontroli nad innym podmiotem w rozumieniu ustawy o ochronie konkurencji i konsumentów?
28;28. Proszę omówić pojęcie grupy kapitałowej w rozumieniu ustawy o ochronie konkurencji i konsumentów. Proszę podać trzy dowolnie skonstruowane przykłady takiej grupy obejmujące co najmniej trzy spółki prawa handlowego. Spółka A posiada 50% udziałów w spółce B oraz prawo do powoływania większości członków zarządu spółki B, ponadto spółka A posiada 51% akcji w spółce C oraz umowę, na mocy której uzyskuje uprawnienie do całości zysku spółki D. Czy spółki B, C i D wchodzą w skład grupy kapitałowej tworzonej przez spółkę A? Proszę uzasadnić odpowiedź.
29;29. Proszę wymienić cztery formy koncentracji wymienione w ustawie o ochronie konkurencji i konsumentów. Proszę podać przykłady dwóch sytuacji, w których następuję zwolnienie od obowiązku zgłoszenia zamiaru koncentracji Prezesowi Urzędu Ochrony Konkurencji i Konsumentów pomimo tego, iż przedsiębiorcy dokonali czynności prawnej, w ramach której realizuje się forma koncentracji wskazana w ustawie o ochronie konkurencji i konsumentów.
30;30. Marek Sponsor, będący przedsiębiorcą w rozumieniu ustawy - Prawo przedsiębiorców, posiada 75% udziałów spółki A, której obroty w każdym roku przekraczają 52 000 000 Euro na terytorium Polski. Spółka A jest właścicielem 90 % akcji spółki B, która od 5 lat sprzedaje swoje wyroby wyłącznie na terytorium Polski, a jej obrót w każdym roku obrotowym przekroczył 10 000 000 Euro. Marek Sponsor jest zainteresowany zakupem od spółki A 50,5% akcji Spółki B. Czy konieczne jest w tej sytuacji zgłoszenie do Prezesa UOKiK zamiaru nabycia akcji? Proszę uzasadnić odpowiedź.
31;31. Dyrektor Działu Sprzedaży spółki X, będącej producentem okien, w korespondencji elektronicznej z Dyrektorem Działu Marketingu spółki Y, działającej na tym samym rynku produktowym i geograficznym, zawarł następującą propozycję: „W celu podniesienia wyników sprzedaży, od Nowego Roku powinniśmy nie schodzić poniżej ceny 500PLN na podstawowy asortyment.” W odpowiedzi na ww. e-mail Dyrektor Działu Marketingu spółki Y odpisał: „Dobry pomysł. Działamy.” Proszę ocenić opisane zdarzenie z punktu widzenia ustawy o ochronie konkurencji i konsumentów. Jakie znaczenie miałby fakt, że w praktyce do realizacji uzgodnienia nie doszło?
32;32. Proszę podać przynajmniej trzy przykłady stypizowanych w ustawie o ochronie konkurencji i konsumentów porozumień ograniczających konkurencję. Proszę podać przykład porozumienia horyzontalnego i przykład porozumienia wertykalnego.
33;33. Andrzej Literat zawarł z bankiem umowę kredytową na zakup samochodu w treści której znalazły się postanowienia wpisane do rejestru postanowień wzorców umowy uznanych za niedozwolone. Andrzej Literat zawiadomił o tym fakcie Prezesa Urzędu Ochrony Konkurencji i Konsumentów. Proszę przeanalizować dalszy tryb postępowania w tej sprawie przez Prezesa Urzędu Ochrony Konkurencji i Konsumentów.
34;34. Proszę omówić zagadnienie porozumień ograniczających konkurencję i kompetencje Prezesa Urzędu Ochrony Konkurencji i Konsumentów w przypadku stwierdzenia naruszenia zakazu ich zawierania, w tym w zakresie nakładania kar pieniężnych. Dyrektor handlowy spółki A na spotkaniu branżowym z dyrektorem ds. marketingu spółki B, działającej na tym samym rynku produktowym i geograficznym, uzgodnił, że działalność handlowa spółki A nie będzie „wkraczała” na teren Polski południowej, będący obszarem szczególnego zainteresowania spółki B, w zamian zaś przedstawiciele spółki B nie będą oferować swoich produktów na terenie Wielkopolski, będącej głównym rynkiem spółki A. Nie zawarto jednak żadnej formalnej umowy. Proszę ocenić opisane zdarzenie z punktu widzenia ustawy o ochronie konkurencji i konsumentów.
35;35. Proszę omówić zagadnienie nadużywania pozycji dominującej i kompetencje Prezesa Urzędu Ochrony Konkurencji i Konsumentów w przypadku stwierdzenia takiego nadużycia, w tym w zakresie nakładania kar pieniężnych. Proszę podać trzy przykłady nadużywania pozycji.
36;36. Proszę omówić zagadnienie praktyk naruszających zbiorowe interesy konsumentów i kompetencje Prezesa Urzędu Ochrony Konkurencji i Konsumentów w przypadku takich praktyk, w tym w zakresie nakładania kar pieniężnych. Proszę podać trzy przykłady praktyk naruszających zbiorowe interesy konsumentów.
37;37. Proszę omówić uprawnienia kontrolującego w toku czynności kontrolnych przewidzianych ustawą o ochronie konkurencji i konsumentów. W jakich przypadkach u kontrolowanego przedsiębiorcy może być przeprowadzone przeszukanie?
38;38. Proszę omówić, jakie podmioty i przy spełnieniu jakich przesłanek, ponoszą odpowiedzialność z tytułu naruszenia zakazu porozumień ograniczających konkurencję w świetle ustawy o ochronie konkurencji i konsumentów. W sytuacji zawarcia zakazanej zmowy cenowej przez przedsiębiorcę A (sp. z o.o.) oraz przedsiębiorcę B (s.a.) – na jakie podmioty Prezes UOKIK będzie mógł nałożyć karę pieniężną? Proszę omówić przesłanki odpowiedzialności i możliwe sankcje w odniesieniu do osób fizycznych (osób zarządzających) w przypadku stwierdzenia naruszenia zakazu porozumień ograniczających konkurencję przez przedsiębiorcę.
39;39. Proszę omówić regulacje dotyczące programu łagodzenia kar w świetle ustawy o ochronie konkurencji i konsumentów. Przedsiębiorca A, który zawarł niedozwolone porozumienie ograniczające konkurencję, złożył do Prezesa UOKIK wniosek o odstąpienie od wymierzenia kary pieniężnej. Jakie warunki muszą zostać spełnione, aby wniosek został uwzględniony?
40;40. Proszę omówić roszczenia o naprawienie szkody wyrządzonej naruszeniem prawa konkurencji oraz procedurę dochodzenia tych roszczeń przed sądem.  Proszę omówić następującą sytuację: przedsiębiorca A został poszkodowany w rezultacie zawarcia niedozwolonego porozumienia funkcjonującego w branży materiałów budowlanych. Niedozwolone porozumienie zostało stwierdzone w prawomocnej decyzji Prezesa Urzędu Ochrony Konkurencji i Konsumentów. Jakie kroki prawne doradzi Pan/Pani                przedsiębiorcy A? 
41;41. Spółka MARINA sprzedająca liny do jachtów w okresie sierpień – wrzesień 2019 miała do czynienia z kartelem producentów jachtów. W marcu 2020 roku Prezes UOKIK wydał decyzję, w której stwierdził istnienie kartelu. W kwietniu 2020 roku prezes spółki MARINA zlecił swoim prawnikom przygotowanie pozwu o odszkodowanie w związku z funkcjonowaniem kartelu. W maju 2020 roku prawnicy złożyli pozew do sądu, krótko potem prezes spółki MARINA poinformował ich, iż jeden z kartelistów zamierza usunąć z biura korespondencję, dyski twarde oraz inne dowody dotyczące mechanizmów funkcjonowania karteli. W jaki sposób Pan/Pani jako prawnik spółki MARINA dokona zabezpieczenia dowodów, a w szczególności, czy skorzysta Pan/Pani z rozwiązań prawa egzekucyjnego? Proszę też udzielić klientowi informacji prawnej na temat instytucji wniosku o wyjawienie środka dowodowego.
42;42. Proszę przedstawić cele, dla realizacji których może być ustanowiona fundacja oraz zasady ich określania. Czy można zmienić cele fundacji po jej założeniu?
43;43. Klient zamierza ustanowić fundację i pyta radcę prawnego, jakie działania powinien podjąć jako fundator i czy wymagają one szczególnej formy, oraz kiedy będzie mógł rozpocząć działalność. Proszę udzielić porady prawnej. 
44;44. Jako radca prawny proszę udzielić klientowi, zamierzającemu utworzyć fundację, informacji prawnej na temat normatywnych wymagań statutu fundacji oraz możliwości dokonywania jego zmian, w tym udzielić odpowiedzi na pytanie, czy jako fundator musi sam ustanowić statut. 
45;45. Klient zamierza utworzyć fundację, która będzie prowadziła działalność gospodarczą i pyta, na jakich zasadach fundacja może ją prowadzić, a także, czy wymaga to od niego jako fundatora nakładów finansowych. Proszę udzielić porady prawnej. 
46;46. Klient zamierza utworzyć fundację. Proszę przedstawić mu wyczerpującą informację prawną na temat tego, w jaki sposób oraz przez kogo sprawowany jest nadzór nad działalnością fundacji. 
47;47. U radcy prawnego pojawił się klient – prezes zarządu fundacji. Ze statutu fundacji wynika, że może ona prowadzić działalność gospodarczą, jednak zarząd fundacji zamierza prowadzić działalność gospodarczą w zakresie nieprzewidzianym w statucie. Proszę udzielić klientowi informacji, jakie kroki należy podjąć, aby było to możliwe. 
48;48. U radcy prawnego pojawił się klient – prezes zarządu fundacji z pytaniem, czy to prawda, że marszałek województwa może, zgodnie z ustawą o fundacjach, zaskarżyć uchwałę zarządu fundacji do sądu. Proszę udzielić odpowiedzi i podać, kto może zaskarżyć taką uchwałę i z jakich przyczyn. 
49;49. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat reguł tworzenia fundacji w testamencie i warunków, na jakich fundacja ustanowiona w testamencie ma prawo być powołana do spadku.
50;50. Klient radcy prawnego chce założyć stowarzyszenie miłośników broni. Chciałby, aby w statucie zostało zapisane, że ten, kto przystąpi do stowarzyszenia, nie może z niego wystąpić przez co najmniej trzy lata. Proszę udzielić porady prawnej, czy taki zapis byłby zgodny z prawem, oraz omówić ograniczenia przy tworzeniu stowarzyszeń. 
51;51. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat możliwości prowadzenia działalności gospodarczej przez stowarzyszenie. 
52;52. Adam B. wraz z kolegami zamierza utworzyć stowarzyszenie, ale chciałby to zrobić w możliwie uproszczony sposób, gdyż nie jest pewny perspektyw jego funkcjonowania. Jako radca prawny proszę udzielić Adamowi B. wyczerpującej informacji na temat zakładania stowarzyszenia zwykłego oraz późniejszego funkcjonowania, a także możliwości przekształcenia stowarzyszenia zwykłego w stowarzyszenie „rejestrowe”. 
53;53. Radca prawny prowadzi stałą obsługę prawną spółki. Prezes spółki chciałby założyć razem z kilkoma innymi spółkami stowarzyszenie. Proszę udzielić mu porady prawnej, czy jest to możliwe i czy osoby prawne mogą być członkami stowarzyszenia. Proszę wskazać podmioty uprawnione do zrzeszania się w stowarzyszeniach.
54;54. Klient – stowarzyszenie zajmujące się działalnością kulturalną – zamierza założyć filię w innym mieście. Proszę udzielić porady prawnej, czy jest to możliwe i jakie działania należy podjąć w tym celu.
55;55. Proszę przedstawić wyczerpującą informację prawną na temat tego, w jaki sposób oraz przez kogo sprawowany jest nadzór nad działalnością stowarzyszenia, ze szczególnym uwzględnieniem organów go sprawujących oraz środków nadzorczych.
56;56. U radcy prawnego pojawiły się trzy osoby, które dowiedziały się o możliwości uzyskania dotacji dla sektora pozarządowego i w związku z tym zamierzają założyć stowarzyszenie. Proszę udzielić im porady prawnej, jakie kroki muszą podjąć, aby je założyć. 
57;57. Co może stanowić przedmiot zastawu rejestrowego? Proszę podać przykłady papierów wartościowych, o których mowa w Kodeksie spółek handlowych, z których prawa mogą stanowić przedmiot zastawu rejestrowego.
58;58. Proszę omówić wymogi ustanowienia zastawu rejestrowego. Czy zawarcie umowy zastawu rejestrowego na udziałach w spółce z o.o. wymaga formy szczególnej? Proszę uzasadnić stanowisko. Czy zastawem rejestrowym można zabezpieczyć wierzytelność niepieniężną? Proszę wskazać typowe przykłady wierzytelności pieniężnych zabezpieczanych zastawem rejestrowym.
59;59. Proszę omówić skutki zbycia przedmiotu zastawu rejestrowego. Proszę omówić skutki wprowadzenia do umowy zastawniczej zakazu zbycia lub obciążenia przedmiotu zastawu oraz dopuszczalność warunkowego zastrzeżenia zakazu zbycia przedmiotu zastawu.
60;60. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat zasad dotyczących przenoszenia zastawu rejestrowego.
61;61. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat instytucji zastawu na zbiorze rzeczy lub praw.
62;62. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat pozaegzekućyjnyćh sposobów zaspokojenia zastawnika z przedmiotu zastawu rejestrowego.
63;63. Skutki wpisu w rejestrze zastawów. Jawność formalna i jawność materialna rejestru zastawów.
64;64. Właściwość rzeczowa i miejscowa sądów w sprawach o wpis do rejestru zastawów.
65;65. Proszę wskazać podstawowe podobieństwa i różnice dotyczące zastawu rejestrowego oraz cywilnego dotyczące: - rodzaju zabezpieczanych wierzytelności, - trybu zaspokojenia z przedmiotu zastawu, - możliwości korzystania przez zastawę z rzeczy ruchomej, która jest przedmiotem zastawu  w okresie obowiązywania umowy.
66;66. Proszę omówić instytucję administratora zastawu. Proszę wskazać przykłady wierzytelności zabezpieczanych zastawem rejestrowym, w przypadku których może być ustanowiony administrator zastawu. Proszę podać przykład, w którym ustanowienie administratora zastawu jest obowiązkowe, określając: - rodzaj wierzytelności, w przypadku których ustanowienie administratora zastawu jest obligatoryjne, - strony umowy o ustanowienie administratora zastawu.
67;67. Radca prawny otrzymał od przedsiębiorcy XYZ S.A., który udzielił innemu przedsiębiorcy ABC Sp. z o.o. pożyczki w wysokości 215 000 zł, zlecenie sporządzenia umowy zastawu rejestrowego. Spółka XYZ S.A., która będzie zastawnikiem, ma wątpliwości, w jaki sposób będzie mogła się zaspokoić z przedmiotu zastawu, którym ma być samochód ciężarowy o wartości 250 000 zł, gdyby pożyczkobiorca nie spłacił pożyczki w terminie (2 lata). Działając na zlecenie zastawnika proszę określić możliwości zaspokojenia z przedmiotu zastawu, wskazując zastawnikowi: - jakie są możliwe sposoby zaspokojenia z przedmiotu zastawu, - który sposób zaspokojenia należy uznać w tym przypadku za najkorzystniejszy dla zastawnika i dlaczego, - czy zastawnik będzie musiał w okresie zastawu przechowywać przedmiot zastawu.
68;68. Co w Prawie własności przemysłowej oznacza pojęcie projekt wynalazczy? Na jakie wynalazki udzielane są patenty?
69;69. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat tego, w jaki sposób oznacza się pierwszeństwo do uzyskania patentu, prawa ochronnego albo prawa z rejestracji. Dodatkowo proszę wskazać, komu przysługuje prawo do patentu w przypadku dokonania zgłoszenia tego samego wynalazku niezależnie przez co najmniej dwie osoby, które korzystają z pierwszeństwa oznaczonego tą samą datą.
70;70. Komu może przysługiwać prawo do uzyskania patentu na wynalazek albo prawa ochronnego na wzór użytkowy, jak również prawa z rejestracji wzoru przemysłowego?
71;71. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat przesłanek udzielenia patentu na wynalazek w świetle ustawy Prawo własności przemysłowej.
72;72. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat zakresu przedmiotowego, czasowego i terytorialnego patentu oraz na temat sytuacji prawnej współuprawnionego z patentu.
73;73. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat przejścia patentu na inny podmiot i obciążenia patentu.
74;74. Umowy licencyjne w świetle ustawy Prawo własności przemysłowej.
75;75. Jako radca prawny proszę wyjaśnić klientowi, co to jest wzór użytkowy, co - wzór przemysłowy. 
76;76. Proszę omówić pojęcie znaku towarowego oraz zakres badania przeszkód w udzieleniu prawa ochronnego przez Urząd Patentowy.
77;77. Treść i naruszenie prawa ochronnego na znak towarowy. Jeżeli osoba trzecia używa oznaczenia podobnego do zarejestrowanego znaku towarowego i czyni to w odniesieniu do towarów podobnych do towarów objętych prawem ochronnym, a znak zarejestrowany nie jest znakiem renomowanym, to jaką okoliczność trzeba ustalić dla stwierdzenia naruszenia prawa ochronnego na znak towarowy?
78;78. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat możliwości przeniesienia prawa ochronnego na znak towarowy i jego obciążenia.
79;79. Jako radca prawny proszę wyjaśnić klientowi, na czym polega pierwszeństwo i uprzednie pierwszeństwo do uzyskania prawa ochronnego na znak towarowy.
80;80. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat unieważnienia i wygaśnięcia prawa ochronnego na znak towarowy.
81;81. Jako radca prawny proszę udzielić klientowi zwięzłej informacji na temat postępowania spornego przed Urzędem Patentowym.
82;82. Jako radca prawny proszę udzielić klientowi informacji prawnej na temat roszczeń przysługujących mu w razie naruszenia patentu, przy uwzględnieniu momentu powstania roszczeń oraz przedawnienia.
83;83. Przewóz przesyłki wykonywany był na podstawie jednej umowy przez kilku przewoźników, w tym dwóch kolejowych, z których jeden przyjął przesyłkę do przewozu oraz przez dwie firmy transportu drogowego. Do powstania szkody w przesyłce doszło w czasie wykonywania przewozu przez ostatniego z nich, będącego przewoźnikiem kolejowym. Proszę doradzić swojemu klientowi, do którego z przewoźników winien skierować swoje roszczenia i jakie kroki winien wykonać, aby uzyskać odszkodowanie. 
84;84. Nadawca - na podstawie przepisów ustawy Prawo przewozowe - zawarł z przewoźnikiem kolejowym umowę przewozu przesyłki towarowej. Następnie przewoźnik ten powierzył wykonanie przewozu firmie świadczącej usługi transportu drogowego jako podwykonawcy. Umowa przewozu została wykonana nienależycie, a nadawca poniósł określoną szkodę. Proszę doradzić klientowi, do którego z przewoźników winien skierować swoje roszczenia i jakie kroki winien wykonać, aby uzyskać odszkodowanie.
85;85. Jako radca prawny proszę udzielić klientowi będącemu przewoźnikiem, porady prawnej w następującym stanie faktycznym. Przewoźnik przyjął zlecenie przewozu od nadawcy przesyłki. Nadawca przesyłki w chwili podstawienia się przewoźnika pod załadunek, odstąpił od umowy przewozu. Proszę udzielić przewoźnikowi porady prawnej, czy nadawca przesyłki miał do tego prawo oraz proszę o wskazanie, jakie przysługują z tego tytułu przewoźnikowi roszczenia z podaniem podstawy prawnej.
86;86. Nadawca przesyłki zawarł umowę z przewoźnikiem, który w ramach wykonania umowy posłużył się podwykonawcą. W trakcie wykonywania przewozu doszło do pożaru pojazdu przewoźnika w konsekwencji czego nastąpiło całkowite zniszczenie towaru. Proszę wskazać podmiot uprawniony do wystąpienia z roszczeniami, omawiając zagadnienie legitymacji do podnoszenia roszczeń w prawie przewozowym. Ponadto proszę wskazać, jaki rodzaj umowy został zawarty pomiędzy przewoźnikiem a jego podwykonawcą. Proszę opisać charakter odpowiedzialności przewoźnika za podwykonawcę.
87;87. Jako radca prawny proszę udzielić klientowi będącemu przewoźnikiem porady prawnej w zakresie jego odpowiedzialności za szkodę w przesyłce powstałą w trakcie czynności ładunkowych. Proszę wskazać, kto odpowiada za w/w czynności. Ponadto, proszę omówić, wskazując podstawę prawną, jakie są uprawnienia przewoźnika odnośnie do sprawdzenia stanu przesyłki i kiedy może odmówić przyjęcia jej do przewozu.
88;88. Adam B. nie miał wykupionego biletu na przejazd, a umowę zamierzał zawrzeć poprzez zajęcie miejsca w autobusie. Autobus odjechał jednak z przystanku przed planowaną godziną odjazdu i w związku z tym Adam B. poniósł określoną szkodę. Proszę wyjaśnić Adamowi B. który zwrócił się do Pani/Pana o poradę w tej sprawie, czy może dochodzić odszkodowania z tego tytułu i ewentualnie na jakiej podstawie prawnej.
89;89. Jako radca prawny proszę wyjaśnić klientowi pojęcia „listu przewozowego” i „kwitu bagażowego”, o których mowa w ustawie Prawo przewozowe, a także udzielić odpowiedzi, czy wystawienie listu przewozowego lub kwitu bagażowego jest niezbędnym warunkiem zawarcia ważnej umowy przewozu rzeczy na gruncie ustawy Prawo przewozowe.
90;90. Proszę omówić, jak - na podstawie przepisów ustawy Prawo przewozowe - kształtuje się odpowiedzialność przewoźnika w przewozie rzeczy (przesyłek) z tytułu nienależytego wykonania umowy przewozu przesyłek. Proszę wskazać, na czym może polegać nienależyte wykonanie umowy przewozu przez przewoźnika. 
91;91. Nadawca zadeklarował w liście przewozowym, że wartość jego przesyłki wynosi 10.000 zł. Przesyłka zaginęła i nie dotarła do odbiorcy. Proszę omówić - na podstawie przepisów ustawy Prawo przewozowe - instytucję deklaracji wartości przewożonych rzeczy w liście przewozowym. Proszę udzielić klientowi informacji prawnej, dotyczącej  zasad ustalania odszkodowania za utratę lub ubytek przesyłki z deklarowaną wartością.
92;92. Jako radca prawny proszę udzielić klientowi wyczerpującej informacji na temat ograniczeń wysokości odszkodowania należnego od przewoźnika w przewozie rzeczy (przesyłek) na podstawie ustawy Prawo przewozowe. Proszę wskazać również, w jakich okolicznościach - w przypadku szkody w przesyłce (przewożonej rzeczy) - uprawnionemu służy roszczenie do przewoźnika o utracone korzyści.  
93;93. Jako radca prawny proszę udzielić klientowi informacji prawnej, dotyczącej obowiązków przewoźnika w przewozie rzeczy, w przypadku ubytku lub uszkodzenia przesyłki, skutków przyjęcia przesyłki bez zastrzeżeń przez uprawnionego oraz terminów przedawnienia roszczeń przysługujących uprawnionemu z tytułu ubytku lub uszkodzenia przesyłki, w tym zasad zawieszenia biegu przedawnienia.
94;94. Nadawca nie uiścił należności przewoźnika z tytułu kosztów poniesionych przez niego w wyniku wykonania polecenia nadawcy odnoszących się do zmiany umowy przewozu. Strony zawarły kolejną umowę przewozu, a przewoźnik poinformował nadawcę o zabezpieczeniu swojego roszczenia poprzez ustanowienie zastawu na przesyłce będącej przedmiotem kolejnej umowy. Czy miał takie uprawnienie? Proszę omówić instytucję zastawu na przesyłce, określoną w przepisach ustawy Prawo przewozowe.
95;95. Jako radca prawny proszę udzielić klientowi porady prawnej w następującym stanie faktycznym. Klient zawarł ze spedytorem umowę, której treść stanowiło zorganizowanie przewozu towaru. Następnie spedytor we własnym imieniu zawarł umowę z przewoźnikiem. W trakcie wykonywania przewozu, na skutek wypadku drogowego, doszło do całkowitego zniszczenia towaru. Proszę udzielić porady prawnej klientowi, czy może bezpośrednio skierować swoje roszczenia do przewoźnika. Proszę również wskazać zakres odpowiedzialności spedytora oraz czynności, które powinien podjąć w razie wystąpienia szkody w transporcie.
